title,barkbands_flatness_db,dissonance,dynamic_complexity,hfc,spectral_centroid,bpm,danceability,key_scale
01-OnlyOneWillDie,"(0.085, 0.001)","(0.49, 0.0)",1.2672137022,"(34.315, 131.903)","(2254.709, 278657.312)",191.406,1.208,minor
01-Sacrifice(SacrificecoverBonusTrack),"(0.089, 0.002)","(0.489, 0.0)",2.46928954124,"(29.759, 287.747)","(2090.189, 484885.719)",112.77,1.105,major
01.FixatedonDevastation,"(0.105, 0.002)","(0.487, 0.0)",1.59368741512,"(27.949, 186.3)","(2151.344, 904215.125)",178.206,1.34,minor
01.MementoMori,"(0.23, 0.004)","(0.448, 0.001)",2.679946661,"(13.505, 95.318)","(626.872, 875795.625)",122.535,1.051,minor
01.Receipt,"(0.102, 0.004)","(0.482, 0.0)",5.95602464676,"(29.955, 485.631)","(1846.594, 510022.344)",109.743,1.04,minor
02-Confessions(Possessedcover),"(0.082, 0.002)","(0.489, 0.0)",1.56113278866,"(36.159, 218.271)","(2529.046, 662410.375)",97.817,1.357,minor
02-RedBeforeBlack,"(0.088, 0.001)","(0.49, 0.0)",1.07409954071,"(33.665, 111.029)","(2111.626, 263350.5)",129.985,1.22,minor
02.Checkmate,"(0.137, 0.006)","(0.478, 0.001)",5.63583993912,"(24.073, 468.941)","(1650.768, 473136.938)",161.499,1.011,minor
02.PanicAmongsttheHerd,"(0.114, 0.002)","(0.487, 0.0)",1.73932540417,"(26.466, 200.865)","(1816.663, 534920.688)",123.263,1.189,minor
"02.Vlad,SonOfTheDragon","(0.073, 0.001)","(0.488, 0.0)",1.11044025421,"(38.174, 306.026)","(2030.49, 209073.578)",119.834,1.318,major
03-CodeOfTheSlashers,"(0.106, 0.001)","(0.491, 0.0)",1.19351553917,"(31.419, 179.12)","(2087.51, 316066.875)",116.636,1.179,minor
03-NoRemorse(Metallicacover),"(0.093, 0.001)","(0.492, 0.0)",1.411049366,"(30.27, 174.549)","(2585.078, 251866.547)",96.221,1.193,major
03.Abysmal,"(0.072, 0.001)","(0.489, 0.0)",1.54991173744,"(39.143, 316.559)","(2081.566, 179937.344)",113.192,1.437,minor
